Year,Industry,Gas Type,Gas Name,Emissions,,,,,
1998,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"8,955.5",,,,,
1998,Education,CO2,Carbon Dioxide,"5,207.0",,,,,
1998,Human health and social work activities,CO2,Carbon Dioxide,"5,342.6",,,,,
1998,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,470.1",,,,,
1998,Other service activities,CO2,Carbon Dioxide,"1,224.1",,,,,
1998,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,47.4,,,,,
1998,Consumer expenditure,CO2,Carbon Dioxide,"149,704.9",,,,,
1999,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"8,184.1",,,,,
1999,Mining and quarrying,CO2,Carbon Dioxide,"28,394.5",,,,,
1999,Manufacturing,CO2,Carbon Dioxide,"130,697.0",,,,,
1999,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"154,620.3",,,,,
1999,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"3,836.8",,,,,
1999,Construction,CO2,Carbon Dioxide,"11,036.8",,,,,
1999,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"12,879.0",,,,,
1999,Transport and storage,CO2,Carbon Dioxide,"89,751.5",,,,,
1999,Accommodation and food services,CO2,Carbon Dioxide,"3,587.1",,,,,
1999,Information and communication,CO2,Carbon Dioxide,"1,277.0",,,,,
1999,Financial and insurance activities,CO2,Carbon Dioxide,339.6,,,,,
1999,Real estate activities,CO2,Carbon Dioxide,849.7,,,,,
1999,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,621.5",,,,,
1999,Administrative and support service activities,CO2,Carbon Dioxide,"3,111.6",,,,,
1999,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"9,120.7",,,,,
1999,Education,CO2,Carbon Dioxide,"4,900.0",,,,,
1999,Human health and social work activities,CO2,Carbon Dioxide,"4,894.6",,,,,
