code,label,cx,cy
E05001316,St Matthew's,-1.9689166032353858,52.588003690124616
E05001317,Short Heath,-2.0366152033538594,52.60049198030825
E05001318,Streetly,-1.8914406487652375,52.577290094052685
E05001319,Willenhall North,-2.040281725565106,52.61241935689271
E05001320,Willenhall South,-2.054719900607274,52.5865810200624
E05001321,Bilston East,-2.0686294623642576,52.56185113586326
E05001322,Bilston North,-2.076132280225902,52.57593405981192
E05001323,Blakenhall,-2.129854711766384,52.56677489549626
E05001324,Bushbury North,-2.118913486699341,52.62676202394478
E05001325,Bushbury South and Low Hill,-2.1197202324143327,52.606285750232374
E05001326,East Park,-2.0973159886203767,52.58332469169939
E05001327,Ettingshall,-2.104356796577376,52.5687131016332
E05001328,Fallings Park,-2.0984715092326494,52.61444869200876
E05001329,Graiseley,-2.1462961567164185,52.57544824626866
E05001330,Heath Town,-2.107935785710586,52.59615606445262
E05001331,Merry Hill,-2.170623673531655,52.57071642817188
E05001332,Oxley,-2.1438992215866053,52.61761542982525
E05001333,Park,-2.1543836650886066,52.58772913533221
E05001334,Penn,-2.156123398065313,52.5623682231435
E05001335,St Peter's,-2.1367889638317754,52.596202477773325
E05001336,Spring Vale,-2.1064599751186925,52.55394607154645
E05001337,Tettenhall Regis,-2.1690771676454466,52.60497244444444
E05001338,Tettenhall Wightwick,-2.181128749585176,52.58707285207762
E05001339,Wednesfield North,-2.064589145513238,52.612287680058905
E05001340,Wednesfield South,-2.0777328147345173,52.59914007053758
E05001341,Baildon,-1.7669839376729752,53.85483593146587
E05001342,Bingley,-1.820588819093514,53.86663206630747
E05001343,Bingley Rural,-1.8801364195363532,53.82188175105645
E05001344,Bolton and Undercliffe,-1.7472762673182258,53.81275586522512
E05001345,Bowling and Barkerend,-1.7341365569510614,53.78858480480109
E05001346,Bradford Moor,-1.718917558270707,53.79904126641139
E05001347,City,-1.7695518499731677,53.79176406820115
E05001348,Clayton and Fairweather Green,-1.8158347032481053,53.78798979175863
E05001349,Craven,-1.9214240676634433,53.918850024878395
E05001350,Eccleshill,-1.7200673689486,53.81809067661298
E05001351,Great Horton,-1.7914969152375841,53.779818762591354
E05001352,Heaton,-1.7967798667669805,53.818167857484056
E05001353,Idle and Thackley,-1.720982194402611,53.84331080258534
E05001354,Ilkley,-1.8252604941562933,53.9205853233381
E05001355,Keighley Central,-1.9177104362106456,53.87533629275759
E05001356,Keighley East,-1.8741139371115847,53.87684139376041
E05001357,Keighley West,-1.939324710006747,53.862871152548465
E05001358,Little Horton,-1.7557975886986517,53.77760569580973
E05001359,Manningham,-1.7715636094674552,53.806695310103
E05001360,Queensbury,-1.844696931004355,53.76874184876951
E05001361,Royds,-1.7892333418977877,53.75845103177888
E05001362,Shipley,-1.7900313771652183,53.835375082503106
E05001363,Thornton and Allerton,-1.8501504438645586,53.798583297217895
E05001364,Toller,-1.794238858475479,53.805412550992365
E05001365,Tong,-1.6976733182452657,53.77086264839911
E05001366,Wharfedale,-1.7649059571809347,53.90274205362095
E05001367,Wibsey,-1.7692684134074155,53.767737320695794
E05001368,Windhill and Wrose,-1.7559832679570118,53.83011684722345
E05001369,Worth Valley,-1.9830300811986161,53.82982665461217
E05001370,Wyke,-1.7594274596027888,53.74556698053904
E05001371,Brighouse,-1.77343928909203,53.70499834578337
E05001372,Calder,-2.05229795864298,53.76370001564342
E05001373,Elland,-1.8289353368428602,53.684533213995515
E05001374,Greetland and Stainland,-1.8874063169485078,53.68021083384471
E05001375,Hipperholme and Lightcliffe,-1.7956278003762471,53.7266364544067
E05001376,Illingworth and Mixenden,-1.9030210279136843,53.76555557072695
E05001377,Luddendenfoot,-1.978072966931691,53.72509452486505
E05001378,Northowram and Shelf,-1.8330250409299715,53.74499574408636
E05001379,Ovenden,-1.8811661501818708,53.739414899960735
E05001380,Park,-1.8802407878017786,53.72310605917589
E05001381,Rastrick,-1.7858809767228891,53.692301005847426
E05001382,Ryburn,-1.9734611256357377,53.66335263118902
